seq,script,final_equity,cum_log_reward,total_fees,n_trades,n_liquidations
constant,s1_flat0,100.0,0.0,0.0,0,0
constant,s2_flat1,99.8001998001998,-0.0020000006666670337,0.0999000999000999,1,1
constant,s3_0110,99.8001998001998,-0.0020000006666670337,0.1998001998001998,2,0
constant,s4_111,99.8001998001998,-0.0020000006666670337,0.1998001998001998,2,0
constant,s5_01010,99.60079880159802,-0.004000001333334067,0.39920119840199764,4,0
constant,s6_end1,99.8001998001998,-0.0020000006666670337,0.0999000999000999,1,1
rising,s1_flat0,100.0,0.0,0.0,0,0
rising,s2_flat1,1439.2180436602703,2.6666850338544315,0.09990009990009992,1,1
rising,s3_0110,120.7582417582418,0.18862035894198287,0.22077922077922085,2,0
rising,s4_111,132.834065934066,0.2839305387463078,0.23286713286713295,2,0
rising,s5_01010,120.51696654993364,0.18662035827531603,0.4400983631752864,4,0
rising,s6_end1,160.72921978021986,0.4745508983549577,0.09990009990009992,1,1
falling,s1_flat0,100.0,0.0,0.0,0,0
falling,s2_flat1,5.223019834109228,-2.952094439085803,0.09990009990009992,1,1
falling,s3_0110,80.83816183816185,-0.21272103198231948,0.18081918081918083,2,0
falling,s4_111,72.75434565434567,-0.3180815476401456,0.17272727272727276,2,0
falling,s5_01010,80.67664702929441,-0.2147210326489863,0.360298043614727,4,0
falling,s6_end1,58.93101998001999,-0.5288025789557985,0.0999000999000999,1,1
zigzag,s1_flat0,100.0,0.0,0.0,0,0
zigzag,s2_flat1,117.94569067296341,0.16505408399649862,0.09990009990009992,1,1
zigzag,s3_0110,88.71128871128873,-0.11978303632305037,0.18870018870018873,2,0
zigzag,s4_111,72.58196349105441,-0.32045373178520165,0.1725547180092635,2,0
zigzag,s5_01010,215.80173073679575,0.7691898869001479,0.5820519806533795,4,0
zigzag,s6_end1,129.74025974025975,0.2603642638008239,0.0999000999000999,1,1
