seq,script,step,decision_time,execution_time,target_position,actual_position,trade_direction,raw_open,exec_price,fee_paid,slippage_cost,notional,qty,cash,btc,equity_start,equity_end,reward,reward_raw,cum_reward_raw,terminated,truncated,terminal_liquidation
zigzag,s1_flat0,0,2026-06-01 00:00:00+00:00,2026-06-01 01:00:00+00:00,0,0,hold,110.0,110.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,1,2026-06-01 01:00:00+00:00,2026-06-01 02:00:00+00:00,0,0,hold,90.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,2,2026-06-01 02:00:00+00:00,2026-06-01 03:00:00+00:00,0,0,hold,120.0,120.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,3,2026-06-01 03:00:00+00:00,2026-06-01 04:00:00+00:00,0,0,hold,80.0,80.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,4,2026-06-01 04:00:00+00:00,2026-06-01 05:00:00+00:00,0,0,hold,130.0,130.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,5,2026-06-01 05:00:00+00:00,2026-06-01 06:00:00+00:00,0,0,hold,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,6,2026-06-01 06:00:00+00:00,2026-06-01 07:00:00+00:00,0,0,hold,110.0,110.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,7,2026-06-01 07:00:00+00:00,2026-06-01 08:00:00+00:00,0,0,hold,90.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,8,2026-06-01 08:00:00+00:00,2026-06-01 09:00:00+00:00,0,0,hold,120.0,120.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,9,2026-06-01 09:00:00+00:00,2026-06-01 10:00:00+00:00,0,0,hold,80.0,80.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,10,2026-06-01 10:00:00+00:00,2026-06-01 11:00:00+00:00,0,0,hold,130.0,130.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,11,2026-06-01 11:00:00+00:00,2026-06-01 12:00:00+00:00,0,0,hold,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,12,2026-06-01 12:00:00+00:00,2026-06-01 13:00:00+00:00,0,0,hold,110.0,110.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,13,2026-06-01 13:00:00+00:00,2026-06-01 14:00:00+00:00,0,0,hold,90.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,14,2026-06-01 14:00:00+00:00,2026-06-01 15:00:00+00:00,0,0,hold,120.0,120.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,15,2026-06-01 15:00:00+00:00,2026-06-01 16:00:00+00:00,0,0,hold,80.0,80.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,16,2026-06-01 16:00:00+00:00,2026-06-01 17:00:00+00:00,0,0,hold,130.0,130.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,17,2026-06-01 17:00:00+00:00,2026-06-01 18:00:00+00:00,0,0,hold,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,18,2026-06-01 18:00:00+00:00,2026-06-01 19:00:00+00:00,0,0,hold,110.0,110.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,19,2026-06-01 19:00:00+00:00,2026-06-01 20:00:00+00:00,0,0,hold,90.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,20,2026-06-01 20:00:00+00:00,2026-06-01 21:00:00+00:00,0,0,hold,120.0,120.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,21,2026-06-01 21:00:00+00:00,2026-06-01 22:00:00+00:00,0,0,hold,80.0,80.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,22,2026-06-01 22:00:00+00:00,2026-06-01 23:00:00+00:00,0,0,hold,130.0,130.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,23,2026-06-01 23:00:00+00:00,2026-06-02 00:00:00+00:00,0,0,hold,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,24,2026-06-02 00:00:00+00:00,2026-06-02 01:00:00+00:00,0,0,hold,110.0,110.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,25,2026-06-02 01:00:00+00:00,2026-06-02 02:00:00+00:00,0,0,hold,90.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,26,2026-06-02 02:00:00+00:00,2026-06-02 03:00:00+00:00,0,0,hold,120.0,120.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,27,2026-06-02 03:00:00+00:00,2026-06-02 04:00:00+00:00,0,0,hold,80.0,80.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
zigzag,s1_flat0,28,2026-06-02 04:00:00+00:00,2026-06-02 05:00:00+00:00,0,0,hold,130.0,130.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,True,False,False
zigzag,s2_flat1,0,2026-06-01 00:00:00+00:00,2026-06-01 01:00:00+00:00,1,1,buy,110.0,110.0,0.09990009990009992,0.0,99.90009990009992,0.9081827263645447,0.0,0.9081827263645447,100.0,99.90009990009992,-0.000999500333083388,-0.000999500333083388,-0.000999500333083388,False,False,False
zigzag,s2_flat1,1,2026-06-01 01:00:00+00:00,2026-06-01 02:00:00+00:00,1,1,hold,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,99.90009990009992,81.73644537280902,-0.20067069546215124,-0.20067069546215124,-0.20167019579523462,False,False,False
zigzag,s2_flat1,2,2026-06-01 02:00:00+00:00,2026-06-01 03:00:00+00:00,1,1,hold,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,81.73644537280902,108.98192716374535,0.28768207245178085,0.28768207245178085,0.08601187665654622,False,False,False
zigzag,s2_flat1,3,2026-06-01 03:00:00+00:00,2026-06-01 04:00:00+00:00,1,1,hold,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,108.98192716374535,72.65461810916358,-0.4054651081081643,-0.4054651081081643,-0.3194532314516181,False,False,False
zigzag,s2_flat1,4,2026-06-01 04:00:00+00:00,2026-06-01 05:00:00+00:00,1,1,hold,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,72.65461810916358,118.0637544273908,0.48550781578170066,0.48550781578170066,0.16605458433008258,False,False,False
zigzag,s2_flat1,5,2026-06-01 05:00:00+00:00,2026-06-01 06:00:00+00:00,1,1,hold,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,118.0637544273908,90.81827263645447,-0.262364264467491,-0.262364264467491,-0.09630968013740843,False,False,False
zigzag,s2_flat1,6,2026-06-01 06:00:00+00:00,2026-06-01 07:00:00+00:00,1,1,hold,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,90.81827263645447,99.90009990009992,0.09531017980432493,0.09531017980432493,-0.0009995003330834917,False,False,False
zigzag,s2_flat1,7,2026-06-01 07:00:00+00:00,2026-06-01 08:00:00+00:00,1,1,hold,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,99.90009990009992,81.73644537280902,-0.20067069546215124,-0.20067069546215124,-0.20167019579523474,False,False,False
zigzag,s2_flat1,8,2026-06-01 08:00:00+00:00,2026-06-01 09:00:00+00:00,1,1,hold,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,81.73644537280902,108.98192716374535,0.28768207245178085,0.28768207245178085,0.08601187665654611,False,False,False
zigzag,s2_flat1,9,2026-06-01 09:00:00+00:00,2026-06-01 10:00:00+00:00,1,1,hold,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,108.98192716374535,72.65461810916358,-0.4054651081081643,-0.4054651081081643,-0.3194532314516182,False,False,False
zigzag,s2_flat1,10,2026-06-01 10:00:00+00:00,2026-06-01 11:00:00+00:00,1,1,hold,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,72.65461810916358,118.0637544273908,0.48550781578170066,0.48550781578170066,0.16605458433008247,False,False,False
zigzag,s2_flat1,11,2026-06-01 11:00:00+00:00,2026-06-01 12:00:00+00:00,1,1,hold,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,118.0637544273908,90.81827263645447,-0.262364264467491,-0.262364264467491,-0.09630968013740854,False,False,False
zigzag,s2_flat1,12,2026-06-01 12:00:00+00:00,2026-06-01 13:00:00+00:00,1,1,hold,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,90.81827263645447,99.90009990009992,0.09531017980432493,0.09531017980432493,-0.0009995003330836028,False,False,False
zigzag,s2_flat1,13,2026-06-01 13:00:00+00:00,2026-06-01 14:00:00+00:00,1,1,hold,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,99.90009990009992,81.73644537280902,-0.20067069546215124,-0.20067069546215124,-0.20167019579523485,False,False,False
zigzag,s2_flat1,14,2026-06-01 14:00:00+00:00,2026-06-01 15:00:00+00:00,1,1,hold,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,81.73644537280902,108.98192716374535,0.28768207245178085,0.28768207245178085,0.086011876656546,False,False,False
zigzag,s2_flat1,15,2026-06-01 15:00:00+00:00,2026-06-01 16:00:00+00:00,1,1,hold,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,108.98192716374535,72.65461810916358,-0.4054651081081643,-0.4054651081081643,-0.3194532314516183,False,False,False
zigzag,s2_flat1,16,2026-06-01 16:00:00+00:00,2026-06-01 17:00:00+00:00,1,1,hold,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,72.65461810916358,118.0637544273908,0.48550781578170066,0.48550781578170066,0.16605458433008236,False,False,False
zigzag,s2_flat1,17,2026-06-01 17:00:00+00:00,2026-06-01 18:00:00+00:00,1,1,hold,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,118.0637544273908,90.81827263645447,-0.262364264467491,-0.262364264467491,-0.09630968013740865,False,False,False
zigzag,s2_flat1,18,2026-06-01 18:00:00+00:00,2026-06-01 19:00:00+00:00,1,1,hold,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.9081827263645447,90.81827263645447,99.90009990009992,0.09531017980432493,0.09531017980432493,-0.0009995003330837138,False,False,False
